match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15
8638034,Nn Ds,17982,7907451.0:4381761.0:31464.0:258649.0:4949790.0:3834305.0:3776849.0:6718340.0:3566240.0:4950364.0:7543647.0,Wn,18570,2653993.0:6718326.0:6718382.0:2486896.0:2288789.0:4950224.0:8187878.0:3083667.0:4950294.0:6718396.0:1585464.0,Wn,18570,Wn,field,By Ol,Mount Maunganui,2021-01-01,night match,Sr Sh,2020/21,17681,0.5833333333333334,1.0,1000000.0,0.13333333333333333,139.0
8588005,Me Rs,33942,37351.0:46794.0:5406540.0:2231928.0:181404.0:1594319.0:7534687.0:7537067.0:1905847.0:8339701.0:7620346.0,Sy Tr,33963,1506098.0:1749075.0:36665.0:2083409.0:7534652.0:5788320.0:1612610.0:5509524.0:5497274.0:3876613.0:8193310.0,Sy Tr,33963,Sy Tr,field,Ca Ol,Carrara,2021-01-01,night match,Bg Bh Le,2020/21,6663,1.6666666666666667,1.0,1000000.0,0.06666666666666667,140.16666666666669
8587837,Sy Ss,33956,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:49496.0:1506077.0,Be Ht,33921,7620269.0:2286437.0:87191.0:5786766.0:3114803.0:2535420.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0:5419546.0,Be Ht,33921,Sy Ss,bat,Be Ct Gd,Brisbane,2021-01-02,night match,Bg Bh Le,2020/21,1476,2.8,0.7499999999999999,1000000.0,0.2,163.3
8638041,Nn Ds,17982,7907451.0:4381761.0:31464.0:4949790.0:258649.0:3834305.0:3776849.0:7543647.0:6718340.0:3566240.0:7907458.0,Oo,18360,2319638.0:256080.0:7918280.0:3913447.0:2690498.0:6129276.0:2666705.0:6317142.0:3834375.0:2236086.0:4195827.0,Oo,18360,Oo,field,By Ol,Mount Maunganui,2021-01-02,night match,Sr Sh,2020/21,17681,1.1666666666666667,1.0,1000000.0,0.13333333333333333,139.0
8587921,Ht Hs,33928,4223883.0:2161599.0:1655436.0:5788418.0:319948.0:6249256.0:2340372.0:309056.0:3125849.0:6732004.0:6722540.0,Me Ss,33949,363047.0:2275097.0:3901078.0:2275195.0:4230127.0:2720759.0:2337117.0:6308098.0:7877232.0:3731307.0:4985546.0:2336473.0,Ht Hs,33928,Me Ss,field,Be Ol,Hobart,2021-01-02,day/night match,Bg Bh Le,2020/21,6348,1.0714285714285714,0.5,1000000.0,0.13333333333333333,150.0
8638048,Ad,17583,5764576.0:3069954.0:3935854.0:3913440.0:4949776.0:8144184.0:270262.0:6718438.0:5560190.0:7878765.0:7565697.0,Cy,17653,4381747.0:2659243.0:3682160.0:4381705.0:3834361.0:8683562.0:3913433.0:1495731.0:4136404.0:3834319.0:7871310.0,Cy,17653,Cy,field,En Pk Or Ol,Auckland,2021-01-03,day match,Sr Sh,2020/21,5081,1.1111111111111112,0.5,1000000.0,0.13333333333333333,138.1818181818182
8587907,Ae Ss,33914,4685568.0:5056134.0:2285051.0:1635773.0:5469008.0:5776490.0:5554254.0:3901099.0:2170762.0:6718844.0:55299.0,Sy Ss,33956,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:2904943.0:7537060.0,Sy Ss,33956,Sy Ss,field,Ca Ol,Carrara,2021-01-03,night match,Bg Bh Le,2020/21,6663,0.6428571428571429,0.33333333333333337,1000000.0,0.06666666666666667,140.16666666666669
8587984,Ph Ss,33935,2089079.0:2827327.0:4635658.0:1626526.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,Me Rs,33942,5406540.0:46794.0:37351.0:2669316.0:181404.0:2231928.0:6842170.0:1905847.0:1906708.0:8339701.0:8277716.0,Ph Ss,33935,Me Rs,field,Ph Sm,Perth,2021-01-03,day match,Bg Bh Le,2020/21,23841,1.9166666666666667,5.0,1000000.0,0.26666666666666666,146.6
8638055,Cl Ds,17744,1945390.0:6487032.0:3083632.0:6496118.0:2537800.0:1626540.0:3558316.0:4170494.0:8354821.0:5984376.0:8447396.0,Nn Ds,17982,7907451.0:4381761.0:31464.0:4949790.0:258649.0:3834305.0:3776849.0:6718340.0:3566240.0:7543647.0:7907458.0,Nn Ds,17982,Nn Ds,field,Sn Pk,Hamilton,2021-01-04,night match,Sr Sh,2020/21,3541,1.5714285714285714,1.0,1000000.0,0.13333333333333333,155.64285714285714
8588166,Me Ss,33949,363047.0:2275097.0:3737103.0:2275195.0:4230127.0:3901078.0:3501882.0:2656541.0:6308098.0:2337117.0:3731307.0,Ht Hs,33928,4223883.0:2161599.0:1655436.0:319948.0:6249256.0:2340372.0:5788418.0:309056.0:3125849.0:6732004.0:6722540.0,Me Ss,33949,Ht Hs,field,Be Ol,Hobart,2021-01-04,day/night match,Bg Bh Le,2020/21,6348,0.8,2.0,1000000.0,0.26666666666666666,150.0
